slug,language,primary_keyword,h1,subtitle,occasion,tier_default,audio_sample,recipient,intent_phrase,meta_description
wedding-song,en,custom wedding song,Custom Wedding Song From Your Story,Tell us how you met. We write the lyrics and produce a song for your first dance — ready 7 days before your day.,wedding,premium,golden-hour-rewrite,couple,first dance,Custom wedding song written from your love story. Original 3-min song for first dance. From €19. EU & UK delivery. Free rewrite policy.
anniversary-song,en,personalized anniversary song,An Anniversary Song From Your Love Story,From a 4-line text about your years together — the silly fights, the inside jokes — we write a song you'll play every year.,anniversary,personal,those-hands,partner,every year,Personalized anniversary song written from your love story. Original 3-min track. From €19. Ready in 2 hours. Free rewrite if not perfect.
memorial-song,en,memorial song custom,A Song to Play When Words Aren't Enough,Write us a letter about them. We write a respectful tribute song for the service — or to keep for the days you miss them most.,memorial,personal,little-blue-steps,loved one,for the service,A custom memorial tribute song written from your letter. Respectful original composition for funerals and celebrations of life. Quiet delivery.
birthday-song-mom,en,birthday song for mom,A Birthday Song For Mom From Your Story,Tell us who she is to you — the specific things. We write the song. She cries good crying.,birthday,personal,golden-hour-rewrite,mom,for her birthday,Custom birthday song for mom from your story. Original 3-min song. From €19. Ready in 2 hours. Free rewrite. EU & UK.
birthday-song-dad,en,birthday song for dad,A Birthday Song For Dad He'll Quietly Replay,Tell us about him — his work, his stories, the way he taught you to drive. We write the song. He gets it.,birthday,personal,muddy-paws,dad,for his birthday,Personalized birthday song for dad. Original composition from your story. From €19. Ready in 2 hours.
mothers-day-song,en,mothers day song personalized,A Mother's Day Song From Your Story,Not flowers. Not a card. A song from her story — written from your words and delivered to your inbox before the day.,mothers-day,personal,golden-hour-rewrite,mom,for Mother's Day,Personalized Mother's Day song. Original 3-min song from your story. From €19. Delivered in 2 hours.
fathers-day-song,en,fathers day song personalized,A Father's Day Song From Your Story,Past the grilling tools. Past the tie. A song from your dad's life — written from your words.,fathers-day,personal,muddy-paws,dad,for Father's Day,Personalized Father's Day song. Original composition from your story. From €19. Ready in 2 hours.
valentines-day-song,en,valentines day song personalized,A Valentine's Day Song From Your Love Story,From a few lines about how you love each other — we write a song that beats roses by a mile.,valentines,personal,those-hands,partner,for Valentine's Day,Custom Valentine's Day song from your love story. Original 3-min song. From €19. Ready in 2 hours.
christmas-song,en,christmas song from your story,A Christmas Song From Your Family Story,Played Christmas Eve before dinner. Written from your year. From €19. Ready before Christmas.,christmas,personal,golden-hour-rewrite,family,for Christmas,Custom Christmas song from your family story. Personalized lyrics. From €19. Ready in 2 hours.
first-dance-song,en,custom first dance song,A First Dance Song That's Actually Yours,Forget the Spotify wedding playlist. A first dance song written from your love story — the silly fights and the moment you knew.,wedding,premium,golden-hour-rewrite,couple,first dance,Custom first dance song written from your story. Original 3-min track. From €19. Ready 7 days before the wedding.
